account,market,segment,observed_public_signal,hypothesis_to_validate,denysoft_entry,evidence_bridge,score,state,public_source
"T&L Transportes y Logistica","El Salvador","Logistics / operations","Salvadoran logistics company coordinating transport, customs, storage, distribution and international trade","Multi-stage logistics requests and client status communication may benefit from structured workflow and visibility","Service System Diagnostic; Client Portal","Taller Express; AXOM",8,"VALIDATE","https://www.tylglobal.com/"
"TRS Logistica","El Salvador","Logistics / operations","Public site cites 500+ clients, 2,500+ shipments, documentation management and real-time tracking","Shipment intake, documentation and tracking complexity may create a strong system/product conversation","Operations System Modernization; Governed AI Capability Pilot","Taller Express; AXOM",8,"VALIDATE","https://www.trslogistica.com/"
"Mensajeria Empresarial","El Salvador","Logistics / field service","Offers recurring monthly ticket plans, outsourced personnel, mass delivery and logistics support","Request intake, dispatch, recurring-plan administration and client status may benefit from a unified service workflow","Service System Diagnostic; Customer/Operator Workflow","Taller Express",8,"VALIDATE","https://mensajeriasv.com/"
"Taller Automotriz ARB","El Salvador","Automotive service","Full automotive-service catalog plus at-home service offering","Appointment, mobile-service coordination, quote approval and repair-status communication are plausible system opportunities to validate","Service System Diagnostic; Customer Portal","Taller Express",7,"VALIDATE","https://tallerautomotrizarb.com/"
"Pits Car Center","El Salvador","Automotive service / digital benchmark","Already promotes a customer app with scheduling, quote approval, progress visibility and service history","Likely lower need for a basic portal; evaluate only for deeper product/AI/system capability or use as local maturity benchmark","Governed AI Capability Pilot; Product Audit","Taller Express; AXOM",5,"HOLD","https://pitscarcenter.com/"
"Taller Autoboys","El Salvador","Automotive service","Appointment-led automotive service with diagnostics, estimates, warranties and active recruiting flow","Customer/service workflow and internal operator coordination may support a service-system diagnostic","Service System Diagnostic; Customer/Operator Workflow","Taller Express",7,"VALIDATE","https://tallerautoboys.com/"
"Edukado","El Salvador","Professional consulting","Family-business consultancy focused on growth, structure, continuity and implementation","Client diagnostics, assessment workflows and knowledge-intensive follow-up may support a digital advisory/client system","Digital Client Journey Diagnostic; Governed AI Knowledge Pilot","Mastertax; AXOM",6,"VALIDATE","https://edukado.com.sv/"
"ISCS SV","El Salvador","Logistics / supply chain","Family logistics company emphasizing personalized supply-chain solutions, technology and market expansion","Custom client operations and traceability needs may support workflow, portal and decision-support modernization","Operations System Modernization; Client Portal","Taller Express; AXOM",7,"VALIDATE","https://iscs-sv.com/quienes-somos/"
"Grupo APAMO","El Salvador","Multi-brand family business","Family company operating multiple brands/divisions including fashion/bridal and other business lines","Multi-brand customer journeys and back-office coordination may justify a cross-brand digital system review","System Diagnostic; Premium Digital Experience","Baltica; AXOM",7,"VALIDATE","https://grupoapamo.net/"
"HT Legales","El Salvador","Professional services / legal","Founder-led specialist commercial-litigation firm with 25+ years of experience and corporate clients","High-trust client intake, matter qualification and controlled knowledge workflows may benefit from structured digital support","Digital Client Journey Diagnostic; Governed AI Intake Pilot","Mastertax; AXOM",6,"VALIDATE","https://htlegales.com/"
"ABBA LATAM","El Salvador / cross-border","Professional services / legal + compliance","Multidisciplinary legal, accounting and risk/compliance firm serving national and foreign companies","Cross-discipline intake, routing and international client communication may create client-system opportunity","Lead + Intake System; Client Portal","Mastertax; AXOM",7,"VALIDATE","https://abbalatam.com/"
"Total Logistics / Grupo ASIMEX","El Salvador","Logistics / operations","Warehousing, fiscal storage, regional distribution, inventory control and assisted operations","Operational complexity and client inventory/status visibility may support portal/workflow modernization","Operations System Modernization; Client Portal","Taller Express; AXOM",8,"VALIDATE","https://totallogistissv.com/"
"USA Latino CPA","US / Orlando","Professional services / accounting","Bilingual accounting, CFO and tax services for small and medium businesses with digital intake flows","Multi-service bilingual intake and recurring advisory workflows may support a client-system or portal layer","Digital Client Journey Diagnostic; Client Portal","Mastertax; AXOM",7,"VALIDATE","https://usalatinocpa.com/"
"Quality Financial & Tax Services","US / Central Florida","Professional services / accounting","Family-owned bilingual firm serving Orlando, Kissimmee and St. Cloud with tax, bookkeeping, payroll and business registration","Multiple recurring service lines and bilingual client journeys may benefit from qualification, document and status workflows","Lead + Intake System; Client Portal","Mastertax; AXOM",7,"VALIDATE","https://www.qualityfinancialtaxservice.com/"
"Zacosta Bookkeeping","US / Central Florida","Professional services / bookkeeping","Founder-led bilingual bookkeeping/advisory firm serving several SMB verticals","Founder-time leverage, recurring client data and sector-specific workflows may support a structured client operations system","Digital Client Journey Diagnostic; Governed AI Knowledge Pilot","Mastertax; AXOM",7,"VALIDATE","https://www.zacostabookkeeping.com/"
"Lumena Realty","US / Central Texas","Boutique real estate","Bilingual boutique brokerage serving Austin, San Antonio and Houston across residential, investment and commercial services","Multi-market lead routing and bilingual client journeys may support a premium intake/client experience","Lead + Intake System; Premium Digital Experience","Baltica; Mastertax",8,"VALIDATE","https://www.lumenarealty.com/"
"CAVA Realty Group","US","Boutique real estate","Latino-founded brokerage launched in 2025 with bilingual/community positioning and services beyond transactions","Early growth stage may create an opportunity to establish scalable client and agent systems before complexity compounds","Digital Client Journey Diagnostic; System Foundation","Baltica; AXOM",7,"VALIDATE","https://cavarealtygroup.com/"
"Laurent Law Group","US + Colombia","Professional services / immigration legal","Boutique bilingual immigration firm with US/Colombia presence, entrepreneur/investor focus and tech-driven security","Cross-border intake, document assembly and status communication may support governed client workflow improvements","Client Portal; Governed AI Intake Pilot","Mastertax; AXOM",7,"VALIDATE","https://laurentlawgroup.com/about-us"
"JSN Auto Repair","US / Southwest Florida","Automotive service operations","Family-owned company with six locations, 30+ technicians and 50 service bays","Cross-location intake, approvals, status and operational consistency create strong service-system hypotheses","Operations System Modernization; Customer/Operator Workflow","Taller Express; AXOM",9,"VALIDATE","https://jsnautorepair.com/about/"
"Atlas Automotive","US / East Texas","Automotive service operations","Husband-and-wife founded auto repair business expanded from one to two locations","Recent location expansion may create a good moment to standardize customer and operator workflows","Service System Diagnostic; Customer Portal","Taller Express",8,"VALIDATE","https://www.atlasautotx.com/"
"Cornerstone Automotive","US / Central Texas","Automotive service operations","Locally owned operation with three locations and mobile/text-based estimate communication","Multi-location service communication and estimate/approval flows may support deeper operational integration","Operations System Modernization; Customer/Operator Workflow","Taller Express; AXOM",8,"VALIDATE","https://cornerstoneautomotive.com/"
"Expert Car Care","US / Florida","Automotive service operations","Family-rooted automotive business with six locations across central and southern Florida","Multi-location operations across varied vehicle/service categories create strong workflow and customer-status hypotheses","Operations System Modernization; Customer Portal","Taller Express; AXOM",9,"VALIDATE","https://www.expertcarcare.com/"
"Mayo Autoworks","US / Central Texas","Automotive service operations","Family-owned automotive service business with two locations and multiple certifications","Multi-location scheduling, approvals and customer communication may support a service-system diagnostic","Service System Diagnostic; Customer/Operator Workflow","Taller Express",8,"VALIDATE","https://www.mayoautoworks.com/"
"Abee's Hi-Tech Auto Service","US / Austin","Automotive service","Second-generation family-operated shop with online booking, fleet/hybrid work and clear approval practices","Existing strong digital front door suggests opportunity would need to be deeper workflow, fleet or AI capability rather than a basic site","System Diagnostic; Governed AI Capability Pilot","Taller Express; AXOM",7,"VALIDATE","https://www.abeesautomotive.com/"
